hip,ra,dec,Vmag
1352,4.22482428,49.46191488,6.52
1353,4.22916178,23.25619334,6.95
1354,4.23768117,61.53318556,5.74
1366,4.27290947,38.68163564,4.61
1372,4.28768216,47.9474053,5.86
1392,4.35228283,8.87651746,6.66
1402,4.38626266,-19.05109159,6.46
1415,4.42942381,51.43309028,6.11
1421,4.44874114,1.68872709,6.19
1429,4.46350506,20.22699418,6.91
1439,4.48460751,12.77146612,6.54
1444,4.49529558,-13.45564033,6.51
1456,4.53840084,46.21431265,6.83
1464,4.57061646,-21.1384598,6.69
1465,4.5718574,11.20621385,6.07
1469,4.57678643,-36.5098839,6.67
1473,4.5819037,36.78522405,4.51
1486,4.61991838,62.20277496,6.97
1493,4.65940621,31.51722681,5.88
1499,4.67444862,-8.05300142,6.47
1501,4.67570361,43.7911412,6.1
1502,4.67734231,-43.23557065,6.33
1562,4.8569773,-8.82392145,3.56
1575,4.92316566,40.72946069,6.35
1587,4.96197947,-2.47888328,6.96
1595,4.98448197,16.25087103,6.6
1598,5.0017023,38.22739687,6.97
1599,5.01775052,-64.87479041,4.23
1600,5.01230423,-17.70043356,6.73
1602,5.02109822,6.29264823,6.81
1603,5.02152617,48.86544902,6.53
1611,5.04396835,-13.06146223,6.85
1630,5.10167651,30.93561358,5.89
1639,5.1288706,48.96863284,6.46
1644,5.14233794,56.556923,6.73
1645,5.1494233,8.19027134,5.38
1647,5.16265059,-69.6249131,5.5
1652,5.18150364,61.87959532,6.8
1657,5.18965919,32.91118651,5.79
1660,5.20241466,-23.63022298,6.78
1669,5.22552106,32.97800554,6.9
1670,5.22746381,10.9769012,6.57
1684,5.26782971,-2.90959901,6.92
1686,5.28028766,37.96860317,5.16
1706,5.36992048,-77.42687264,5.96
1708,5.37999249,-28.98146883,5.18
1715,5.396247,38.18711983,6.86
1725,5.4266911,67.82301538,6.55
1728,5.44280717,-20.05802357,5.61
1766,5.5886764,-50.99248673,6.68
1772,5.60618151,13.48248843,6.25
1795,5.70016123,-39.26241414,6.75
1799,5.70782705,29.45427965,6.95
1803,5.71578446,-12.20943813,6.39
1809,5.73902784,38.75428701,6.69
1821,5.76832494,-15.94255628,6.43
1830,5.80253336,-31.03577534,6.55
1849,5.84227475,-29.84725067,6.81
1892,5.97158721,60.96141311,6.57
1905,6.02193796,44.26473455,6.66
1921,6.06523854,52.01991398,5.58
1939,6.12353807,-2.2190645,6.08
1948,6.15897939,14.31551416,6.48
1952,6.16532611,31.37305509,6.76
1955,6.18673258,-51.04386687,6.81
1960,6.19793946,61.83105752,5.38
1962,6.20681034,-18.47187786,6.9
1982,6.27671131,53.04678574,5.72
2001,6.34211545,-39.26036989,6.91
2006,6.35086824,1.93969241,5.77
2021,6.43780017,-77.25424559,2.82
2024,6.42395538,54.9942055,6.78
2025,6.42463225,7.69112176,6.77
2032,6.44004898,-27.71018982,6.88
2036,6.46349051,71.80712616,6.91
2058,6.51534065,20.14685143,6.67
2074,6.55020136,56.77922902,6.71
2072,6.55084089,-43.67982953,3.93
2080,6.568731,3.8257566,6.9
2081,6.57104571,-42.30598151,2.4
2086,6.59063442,-18.6936325,6.24
2087,6.59088471,49.0489909,6.94
2100,6.65589128,-0.04953269,6.16
2101,6.66444269,56.6412072,6.58
2106,6.67501111,-69.30710993,6.98
2135,6.76905993,25.0420672,6.66
2142,6.78077979,80.0521408,6.53
2151,6.80187466,49.98572539,6.95
2159,6.81128534,-25.54717034,5.99
2178,6.87945648,16.02548298,6.44
2184,6.9065624,-20.13452441,6.78
2210,6.9820767,-33.00716708,4.86
2213,6.99360814,19.51403887,6.4
2219,7.01214583,17.89312479,5.01
2224,7.05293302,16.44506552,6.05
2225,7.05689073,44.39445199,5.18
2227,7.05881288,-29.04027141,6.75
2235,7.08354832,10.18984766,6.05
2237,7.08790055,-20.33505057,6.44
2240,7.11050391,-39.91500236,5.42
2243,7.11904577,32.43774469,6.87
2246,7.13838475,-11.23724377,6.86
2256,7.17969687,-50.53285929,6.26
2270,7.23609127,36.89969434,6.28
2304,7.34642065,-40.66543122,6.82
2312,7.37232221,-3.46927714,6.95
2323,7.41277681,-2.8404242,6.89
2330,7.454175,-32.11598168,6.59
2337,7.46623887,-14.86410912,6.15
2353,7.50982453,-3.95733189,5.72
2355,7.53068761,29.75155669,5.2
