hip,ra,dec,Vmag
24951,80.16317682,46.96378356,6.54
24955,80.16950002,66.74687848,6.39
24957,80.1795017,37.4386657,6.79
24960,80.18234154,2.54478004,6.43
24967,80.21769703,2.92887236,6.77
24971,80.22176748,9.72465104,6.62
24977,80.23589536,19.81434677,6.2
24984,80.24722575,27.95726172,6.35
25001,80.30286394,29.56988416,5.66
25007,80.32025332,-34.34505134,6.05
25008,80.32224824,54.25254538,6.63
25011,80.33044515,4.01194832,6.49
25017,80.3461342,-51.57532354,6.67
25028,80.38268143,-0.4164911,5.68
25041,80.43150113,8.4285562,5.78
25044,80.44061639,-0.38246516,4.72
25045,80.44272695,-24.77298153,5.06
25048,80.45173208,41.80457259,5.22
25053,80.46246309,-13.75568547,6.62
25059,80.48045745,-17.60363127,6.47
25064,80.48780037,42.28599476,6.98
25092,80.57768902,-8.66612054,6.82
25098,80.59227766,-56.13440059,6.1
25107,80.63460571,-73.80143211,6.86
25110,80.63971624,79.23114864,5.08
25136,80.69053975,2.79621513,6.71
25142,80.70833393,3.54445246,4.99
25143,80.70964521,41.02926041,5.54
25180,80.79997688,-26.70543333,6.49
25184,80.80261158,47.02161807,6.81
25187,80.82712628,-8.41559518,5.99
25192,80.84529794,28.93676141,6.45
25194,80.85010321,-39.67842334,5.73
25197,80.86601143,57.54439534,5.24
25202,80.87565198,-13.92735207,5.25
25205,80.87943982,5.32308613,6.34
25216,80.90710623,16.69929844,6.09
25221,80.91198065,-37.33669015,6.8
25223,80.92628878,-0.15981802,5.69
25226,80.93046936,56.08889818,6.85
25238,80.96360052,36.39840976,6.83
25240,80.96387444,-0.86662187,6.13
25247,80.98678426,-7.80806458,4.13
25278,81.10609747,17.38353401,5.0
25280,81.11870729,-16.97578068,5.64
25281,81.11923643,-2.39714624,3.35
25282,81.1204506,-0.89132828,5.07
25288,81.15041942,2.35316484,6.33
25290,81.16009827,31.22391225,6.3
25291,81.16049729,31.14314791,5.94
25292,81.16309118,37.38534566,5.02
25293,81.16824425,-2.49784752,6.92
25298,81.17633291,-52.3130418,6.79
25301,81.18666988,36.19994556,6.49
25302,81.18677733,1.84644465,4.89
25303,81.19286229,-52.31624551,6.26
25317,81.23157209,-44.22568397,6.09
25322,81.24756635,73.70719767,6.48
25329,81.25726707,-10.32888694,5.6
25336,81.28276276,6.34970223,1.64
25337,81.2932321,20.58372664,6.75
25343,81.30389789,34.855035,6.55
25353,81.33394415,-12.55409145,6.55
25363,81.37499143,34.18635404,6.66
25365,81.37950218,-0.54394481,6.55
25368,81.40207508,-1.49129356,6.44
25378,81.44591094,0.52024381,6.18
25397,81.49927144,-19.69539929,5.78
25399,81.50381382,-32.2091839,6.86
25401,81.50985205,-5.51850149,6.24
25410,81.52384431,16.70016073,6.23
25416,81.54501807,78.41456312,6.68
25428,81.57297249,28.60745001,1.65
25429,81.58028197,-58.9125204,5.14
25443,81.63007257,2.93590681,6.52
25453,81.66179094,6.86865787,6.41
25471,81.70334644,34.39180992,5.92
25473,81.70928488,3.09567448,4.59
25475,81.71367662,33.26225838,6.18
25476,81.72632329,35.45727246,6.17
25480,81.74651617,-2.36064843,6.62
25482,81.74917996,-68.62254374,6.02
25486,81.76984646,-11.90096362,6.3
25488,81.77216893,-40.94350961,5.86
25489,81.77652315,-44.86206134,6.81
25492,81.78447075,30.20860309,5.69
25493,81.78459496,3.85554741,6.74
25499,81.79205662,17.96221647,5.4
25502,81.80789376,15.2576305,6.18
25504,81.81090929,-34.61436343,6.94
25505,81.81417297,2.34119997,6.36
25532,81.90208565,-21.37571282,6.08
25539,81.90868809,21.93696527,4.88
25541,81.91202636,34.4758921,5.08
25542,81.91331217,43.36792222,6.76
25544,81.91396444,-60.4159948,6.99
25553,81.93687071,-39.2219232,6.86
25555,81.94003547,15.87405219,5.52
25562,81.96062458,-32.41765194,6.82
25569,81.97792533,48.22664179,6.51
25580,82.00390375,33.76370337,6.41
25582,82.00612753,1.29825085,6.41
25583,82.00671105,17.23912965,5.77
25589,82.03851436,16.43901656,6.85
25606,82.06134664,-20.75944097,2.81
25608,82.0638984,-37.23076663,5.56
25616,82.08761588,-22.43392711,6.78
25622,82.10730012,0.02033971,6.66
25624,82.11001584,34.69745498,6.56
25630,82.12487747,74.30746332,6.99
25638,82.1448909,13.67897917,6.35
25646,82.17703611,-8.3766717,6.75
25647,82.1867834,-65.44857041,6.88
25648,82.18869307,1.64393709,6.91
25653,82.19994478,78.30037599,6.72
25662,82.21512174,12.55082264,6.71
25667,82.23712269,-3.30742896,6.39
25674,82.25460877,42.27051605,6.58
25685,82.27785279,-30.1167258,6.75
25695,82.31875058,25.15021515,5.47
25700,82.32217573,-62.31425623,6.6
25702,82.32976158,18.36570295,6.74
25708,82.3486886,-3.44639371,5.8
25712,82.35585617,-7.26088505,6.69
25714,82.35703422,77.97751046,6.53
25727,82.40648222,-0.02125777,6.87
25730,82.41939302,29.18646428,6.2
25732,82.42342291,-0.80251235,6.49
25733,82.42771275,35.37502458,6.78
25735,82.4318373,35.10875076,6.88
25737,82.43325693,-1.09223896,4.71
25746,82.4589021,-47.07628687,6.64
25748,82.46464056,60.26857159,6.86
25751,82.47822515,1.78926021,5.77
25768,82.53949875,-47.07765472,5.46
25769,82.54250849,63.06722047,5.43
25776,82.55786645,-84.78510392,6.18
25781,82.5661334,-63.92768564,6.19
25785,82.58301422,4.20479467,6.21
25786,82.58647242,-7.4348113,6.33
25790,82.60902153,15.36044913,5.93
25806,82.6806152,22.46225466,6.29
25807,82.68636215,-57.16005184,6.96
25810,82.68785216,39.82591644,6.38
25813,82.69604907,5.94813905,4.2
25816,82.70271318,41.46199446,5.99
25840,82.74975092,-10.08108753,6.95
25853,82.78177839,-20.86365911,5.53
25856,82.79354699,-42.29979578,6.7
25859,82.80314914,-35.47051883,3.86
25861,82.81055254,3.29213294,5.46
25869,82.83705531,-6.70837887,6.23
25877,82.86136042,38.31958006,6.88
25886,82.89886844,14.92890174,6.69
25887,82.90001691,-45.92531691,5.86
25893,82.9132786,18.24411005,6.77
25902,82.93196891,-3.21647343,6.69
25911,82.95058672,85.93852841,6.5
25918,82.97089829,-76.340964,5.18
25922,82.98161847,-16.67644279,6.99
25923,82.98274987,-7.30153704,4.62
25930,83.00166968,-0.29909204,2.25
25945,83.05312933,18.59423429,4.32
25950,83.05892516,17.05812808,5.5
25964,83.08580959,49.39340943,6.72
25973,83.1408358,57.22107088,6.44
25976,83.15824821,0.01193277,6.15
25980,83.17230526,-1.59183113,5.34
25981,83.17435413,-16.31919053,6.68
25984,83.18197064,32.19202168,4.71
25985,83.18256633,-17.82228853,2.58
25993,83.21422692,-38.51337151,5.45
26001,83.24820465,-64.22751731,5.34
26008,83.26213647,68.01296927,6.82
26019,83.28078228,-35.1393761,5.75
26020,83.28060872,-1.71735765,6.53
26034,83.31472737,32.28934691,6.62
26035,83.31751358,-34.30399524,6.87
26054,83.36417525,32.80117995,6.5
26057,83.36968324,42.10895803,6.55
26062,83.3781644,24.62881146,6.97
26063,83.38102748,-1.15607281,5.36
26064,83.38179108,18.54023094,5.67
26066,83.39371087,-57.08313539,6.76
26069,83.40632371,-62.48982532,3.76
26070,83.40715326,-3.46317121,6.75
26071,83.40922862,34.72556991,6.27
26072,83.41182597,20.47421635,6.19
26077,83.42962403,32.74892873,6.54
26079,83.43485122,-54.90228939,6.42
26091,83.46660929,-29.84922427,6.52
26093,83.47618338,14.30557814,5.6
26098,83.48994592,1.40764657,6.58
26104,83.51030148,-7.02375029,6.45
26106,83.51621197,-1.0357264,6.24
26108,83.51686455,-1.47025335,5.92
26120,83.56211603,-2.88166545,6.69
26122,83.5658987,-18.8120157,6.72
26126,83.56988721,3.7668951,5.32
26128,83.5708774,41.1234175,6.87
26137,83.60034108,-4.80433816,6.8
26149,83.62202473,-0.01234483,6.25
26166,83.6806591,5.66088175,6.71
26169,83.68659394,-73.74127669,5.79
26173,83.70002866,-7.20038671,6.69
26174,83.70079411,-0.95363666,6.98
26176,83.70515458,9.48957923,4.39
26182,83.72485124,-4.11041792,6.74
26190,83.73930258,-61.17604816,6.32
26197,83.75419528,-6.00926993,5.67
26199,83.76117307,-6.00202702,4.78
26200,83.76140748,-58.87114427,6.69
26201,83.76487402,24.29076875,6.82
26207,83.78448789,9.93415842,3.39
26213,83.80327903,-0.73535393,6.97
26212,83.80331461,9.61326337,6.72
26215,83.80516521,10.2400929,5.6
26219,83.81447813,-33.07972433,5.76
26220,83.81592671,-5.38731504,4.98
26221,83.81860638,-5.38969592,5.13
26224,83.82165791,-5.38768044,6.71
26233,83.84111131,-4.49417244,6.57
26234,83.84298275,-4.42432003,6.24
26235,83.84542001,-5.41605966,4.98
26237,83.8465174,-4.83835783,4.58
26241,83.8582603,-5.90990135,2.75
26243,83.86071382,-15.73793271,6.82
26245,83.86146357,-33.26922882,6.74
26248,83.86304209,24.03958878,5.37
26257,83.87949554,-4.36404601,6.56
26258,83.88068747,-5.26738394,6.75
26263,83.89960232,-3.25283997,6.4
26264,83.90070165,-78.82083906,6.04
26268,83.91451758,-4.85606663,5.24
26291,83.98124747,27.66234681,6.27
26300,84.01185745,-47.31374616,6.1
26309,84.04289816,-28.70801528,6.26
26311,84.05338934,-1.20191983,1.69
26314,84.06261508,-5.64792272,6.56
26315,84.06649817,47.71529016,6.1
26328,84.10992817,21.99310826,6.88
26332,84.12573665,25.94016588,6.52
26344,84.14674026,54.42865852,5.74
26345,84.14872314,-6.06475163,5.71
26348,84.1514311,-35.06120802,6.88
26363,84.21839993,40.18237527,6.08
26366,84.22661625,9.29067267,4.09
26368,84.22907776,-66.56028737,6.28
26380,84.25840392,-73.69934281,6.69
26382,84.26556585,17.04032437,5.53
26386,84.26826049,11.03500456,5.97
26395,84.28655172,-11.77551545,6.1
26394,84.29121542,-80.46912192,5.65
26396,84.28685582,26.9244731,5.83
26408,84.31278966,64.1546897,6.15
26410,84.31675851,66.69669204,6.26
26412,84.31877867,-27.87136202,6.15
26414,84.33045889,8.95187453,6.11
26420,84.3407459,-38.02285739,6.9
26427,84.36398985,-5.93839105,6.03
26451,84.4111907,21.14254914,2.97
26460,84.43590756,-28.68969042,5.28
26463,84.44086175,33.55916717,6.36
26466,84.4503652,-34.68969448,6.57
26474,84.46726409,71.65437344,6.62
26477,84.47243952,-4.81403405,6.16
26487,84.50466286,7.54141958,5.87
26495,84.5287675,-27.2107488,6.53
26508,84.55723062,-1.16917634,6.84
26510,84.56372639,-4.1082331,6.86
26515,84.57258442,-50.640995,6.43
26518,84.5905664,8.48730962,6.72
26535,84.65822074,-6.5739587,5.96
26536,84.65868856,30.49241235,5.4
26545,84.68135383,-40.70730651,5.81
26546,84.68280061,41.83922134,6.59
26548,84.68519572,70.36445767,6.97
26549,84.68653333,-2.60006888,3.77
26551,84.69011217,-2.5996927,6.81
26563,84.72117914,-7.21282887,4.77
26569,84.73649526,49.41620941,6.85
26571,84.73905123,26.61806858,6.45
26592,84.78623595,41.35856252,6.44
26594,84.79644308,4.12146684,4.5
26602,84.81759927,-17.84940834,6.4
26606,84.82630008,29.21521266,5.98
26616,84.86295046,21.76292896,6.42
26623,84.87850386,-9.70662843,6.49
26624,84.87979574,-3.56470434,5.99
26632,84.90333731,37.98888689,6.96
26633,84.90829045,0.83384869,6.91
26634,84.91224946,-34.07410786,2.65
26638,84.9321036,75.04387153,6.19
26640,84.93416238,25.89709109,5.18
26642,84.93628553,-20.43518054,6.89
26648,84.95451956,1.49172744,6.9
26649,84.95766851,-32.62921597,5.44
26661,84.99648347,-85.91432606,6.77
26666,85.01211208,43.324359,6.96
26682,85.05577711,69.98185257,6.92
26692,85.07856882,15.35007872,6.98
26700,85.12082378,61.94890652,6.86
26712,85.14961344,31.35819733,6.04
26713,85.15539959,-2.82523646,6.22
26718,85.17521009,31.92060752,6.23
26727,85.18969642,-1.94257224,1.74
26728,85.19246385,-10.40866377,6.46
26736,85.21131127,-1.12878734,4.95
26740,85.2276884,-11.20005408,6.86
26742,85.2348766,-1.50718109,6.99
26744,85.24093548,32.8959906,6.74
26762,85.27331504,0.33775349,5.93
26774,85.3128908,33.91891549,6.93
26777,85.323828,16.53414784,4.84
26779,85.33473195,53.48105779,6.21
26781,85.3374059,29.48741847,6.4
26786,85.34417678,17.52217982,6.97
26795,85.36161853,3.77803924,6.82
26796,85.36218803,-33.4007414,6.35
26814,85.40297572,60.62294242,6.99
26820,85.41807425,-2.89645742,6.41
26821,85.42296177,-16.72583023,6.22
26836,85.47817598,23.3262284,6.57
26838,85.48629944,35.63133297,6.85
26842,85.48969874,-62.91375401,6.89
26853,85.51660606,22.66032496,6.35
26862,85.54824624,-30.53544235,6.18
26865,85.55815948,-22.37371529,5.88
26866,85.56031748,-17.53037637,6.15
26868,85.56331056,-34.66781208,5.29
26870,85.57339731,2.36717708,6.67
26882,85.61019972,65.69764919,5.62
26885,85.61930036,1.47462889,4.9
26893,85.63715241,-0.0161052,6.85
26925,85.7236365,18.98036094,6.66
26926,85.72464575,-6.79616764,5.97
26930,85.7419849,14.17850102,6.72
26931,85.74272758,33.31454979,6.91
26940,85.75306088,73.98579672,6.77
26942,85.75697735,56.58152233,6.05
26953,85.78882746,-1.61324837,6.31
26957,85.80749405,41.69630121,6.81
26959,85.81048057,-33.42497522,6.83
26964,85.83126075,23.20437201,6.23
26966,85.84029272,-18.55747532,5.73
26969,85.84507033,29.20022124,6.62
26971,85.84965007,5.35863654,6.73
26981,85.87577381,-39.40690791,6.25
26998,85.91274809,25.43954526,6.81
27001,85.92141307,-45.83286415,6.38
27011,85.94376083,-21.42865796,6.68
27015,85.95367121,85.66835607,6.69
27025,85.98654806,66.62612263,6.82
27027,85.9941206,54.86482355,6.95
27046,86.03519496,61.47653572,6.17
27072,86.11579339,-22.44838217,3.59
27075,86.11831174,-20.12657305,6.34
27083,86.1383366,-6.86426094,6.76
27091,86.17264837,12.41531672,6.95
27100,86.19324494,-65.73552592,4.34
27103,86.21112914,-21.65922949,6.79
27106,86.22185619,16.086088,6.99
27116,86.25536833,12.88833174,6.47
27118,86.25746644,4.0081113,6.09
27123,86.27800778,33.62627403,6.78
27129,86.29800749,18.70436118,6.67
27133,86.30452425,-31.66931586,6.83
27164,86.37331877,31.32482502,6.5
27165,86.37446844,52.1610707,6.85
27181,86.41420843,20.69503716,6.87
27192,86.45627281,40.50723476,6.57
27196,86.47516119,49.82625534,5.46
27204,86.49956252,-32.30643495,5.18
27212,86.51195131,-4.26848434,6.24
27227,86.55256446,64.76900693,6.66
27229,86.55821179,-23.6443576,6.54
27243,86.61405275,-46.59718043,5.31
27244,86.61662682,-53.21932521,6.63
27249,86.62662742,56.11557506,5.93
27253,86.64546663,1.16819333,5.95
27259,86.67537859,-36.23135609,6.84
27265,86.68956956,15.82249706,6.0
27280,86.71722823,9.52234276,5.78
27283,86.72752677,56.92392552,6.79
27288,86.73891997,-14.82195004,3.55
27293,86.75017653,51.52087073,6.47
27303,86.76907248,-28.63891352,6.22
27308,86.78251994,-16.23807864,6.18
27314,86.79293026,58.78552765,6.56
27316,86.80479943,14.48832171,5.72
27317,86.80554395,-54.3607284,6.19
27319,86.81118882,42.52674832,6.3
27321,86.82119852,-51.06651408,3.85
27325,86.82786177,-35.67407481,6.29
27338,86.85915063,17.72914106,5.47
27341,86.86204541,-10.53295798,6.04
27344,86.87283982,-41.59021086,6.78
27346,86.88433543,63.59884803,6.49
27353,86.89443919,25.56862307,6.48
27355,86.90472011,54.49466485,6.58
27364,86.92877898,13.8995995,5.28
27366,86.93912023,-9.66960478,2.07
27369,86.95055714,-72.70225012,6.54
27378,86.9838873,24.68683519,6.77
27380,86.9846586,35.15927535,6.55
27383,86.99199942,-40.65297465,6.62
27386,87.00097591,6.45415624,5.26
27390,87.00864024,12.41840405,6.68
27404,87.04776734,30.53519771,6.97
27415,87.08199277,-33.43183185,6.86
27421,87.09319885,20.86948063,6.03
27435,87.14558649,-4.09464788,5.97
27444,87.16532833,-14.31435212,6.74
27446,87.17087009,-1.78556559,6.94
27453,87.19714187,11.99720551,6.93
27458,87.21591497,39.53360369,6.8
27468,87.25403003,24.5675349,4.88
27472,87.26938765,62.80818999,6.18
27479,87.28039562,-32.5043639,6.89
27483,87.29349215,39.18107112,4.51
27511,87.38721058,12.65132367,4.89
27512,87.3921944,-44.87539374,6.38
27517,87.40225923,-14.48366552,5.49
27530,87.45692625,-56.16666304,4.5
27533,87.47291594,-22.97187168,5.87
27534,87.47300266,-66.90118696,5.1
27537,87.47586482,-30.62115229,6.63
27538,87.48141334,31.78570509,6.87
27549,87.51118949,9.87121816,5.79
27555,87.53893875,-32.80926293,6.84
27560,87.55443716,4.42340597,5.96
27566,87.56993792,-79.36136262,5.46
27583,87.62008974,-52.76787935,6.32
27581,87.62044257,14.30560796,5.54
27588,87.62510707,2.02469995,5.97
27592,87.64114119,56.91893853,6.53
27614,87.70274741,14.44336215,6.75
27618,87.7141503,14.04805826,6.59
27621,87.72175357,-52.10887273,5.16
27625,87.73488004,51.51458334,6.29
27628,87.73997037,-35.76830865,3.12
27629,87.74212407,27.96786145,5.6
27634,87.75456135,65.7540693,6.61
27639,87.76015574,37.30557296,4.72
27641,87.76358713,11.49889127,6.94
27642,87.7692781,18.55130315,6.76
27654,87.83039904,-20.87908866,3.76
27658,87.8415992,-7.51800295,5.36
27660,87.84621045,-64.03356567,6.35
27661,87.85729132,32.12469395,6.28
27666,87.8660881,18.44422272,6.99
27670,87.86922555,-22.92694661,6.16
27673,87.87249592,39.14848031,3.97
27696,87.9610707,23.38279316,6.97
27700,87.98072653,-41.10528714,6.71
27705,87.99827969,-29.44942606,6.47
27712,88.0320281,-25.94323662,6.86
27713,88.03220371,-9.0419,5.95
27723,88.05782555,38.56011388,6.93
27731,88.07189187,58.96408812,6.14
27737,88.08417251,-57.15619119,5.93
27743,88.09288195,14.17178682,5.6
27747,88.09752371,19.86784871,5.96
27749,88.10220613,-52.05521518,6.82
27750,88.11016089,1.85513381,4.76
27751,88.11199612,6.20942821,6.9
27766,88.13827153,-37.63106312,5.62
27777,88.16527379,39.57470468,6.4
27778,88.16705438,33.91746198,6.04
27787,88.19880721,-38.52599857,6.69
27788,88.20493713,-34.56056031,6.64
27795,88.23122108,68.47154145,6.22
27810,88.27867158,-33.80136075,4.88
27818,88.28986852,-47.95518976,6.75
27822,88.31131521,-61.83941642,6.81
27829,88.32925855,20.29910664,6.7
27830,88.33185862,27.61226208,4.56
27835,88.34521432,-42.92133071,6.55
27844,88.36930765,37.33905345,6.7
27876,88.48996672,-19.63880306,6.68
27890,88.52522878,-63.08962721,4.65
27892,88.52796568,-35.90299269,6.78
27896,88.54505427,-50.36255065,6.53
27897,88.54973807,-64.48224453,6.62
27900,88.55562596,10.58640344,6.13
27901,88.55842998,-29.1472057,6.34
27902,88.56566032,3.22564122,6.3
27913,88.59576026,20.27617455,4.39
27920,88.62347452,-8.4126463,6.61
27924,88.63443932,11.76319982,6.59
27929,88.6445678,-4.06471366,6.57
27935,88.66316272,-26.66027638,6.85
27937,88.67132891,-49.62700967,6.11
27938,88.68179395,-11.77419216,5.62
27939,88.68348643,0.96861501,5.99
27947,88.70871631,-52.63548078,5.29
27949,88.71159201,55.70694671,4.96
27955,88.71868455,-39.95785707,5.55
27961,88.72994907,14.21982788,6.63
27962,88.73104863,5.86077491,6.8
27965,88.73619497,19.74961403,5.92
27971,88.74094771,59.88836722,5.2
27973,88.7457895,31.70149565,5.9
27989,88.7929386,7.40706274,0.45
28010,88.87465485,-37.12066784,4.97
28011,88.87571393,-4.61654589,5.87
28019,88.89736949,-4.78858712,6.28
28047,88.97029996,-21.68943259,6.77
28054,88.98583537,41.3233182,6.64
28060,88.99534876,-31.53200924,6.73
28066,89.0143037,13.92491204,6.6
28081,89.04439719,-21.12255023,6.89
28085,89.05946171,-22.83997545,5.95
28086,89.0602272,51.80398675,6.62
28098,89.08726573,-31.38244043,5.52
28103,89.10122041,-14.16770015,3.71
28110,89.11681575,9.50939554,5.97
28117,89.14070277,28.94226603,6.35
28118,89.14349183,-23.21531037,6.37
28138,89.20419343,-31.97624733,6.44
28139,89.20604403,11.52105788,5.89
28149,89.22803184,-8.38402706,6.88
28150,89.22900604,-44.00897246,6.65
28154,89.23382671,24.2496892,6.03
28162,89.26929671,49.0296873,6.55
28168,89.28217731,55.9472852,6.95
28180,89.3098903,-53.42569357,6.48
28187,89.35528351,0.02751853,6.9
28199,89.38420824,-35.28327968,4.36
28201,89.3887,-18.05518656,6.67
28205,89.39591517,66.09609939,6.24
28208,89.40559087,45.90133605,6.59
28232,89.47705329,1.22431011,6.22
28237,89.49856601,25.95391186,4.81
28252,89.54879289,-0.99401798,6.21
28255,89.5563476,1.85639031,6.92
28267,89.58973191,-4.65066768,6.99
28271,89.60184444,1.83710839,5.89
28287,89.65644542,-44.03456251,5.81
28293,89.6926716,60.37987705,6.86
28296,89.70654952,0.55297945,5.21
28301,89.72039903,25.77699946,6.63
28302,89.72181858,12.80826431,5.7
28321,89.75449813,-9.38222355,6.15
28322,89.75733994,-51.22316948,6.82
28325,89.76796934,-9.55825019,5.04
28328,89.78668859,-42.81513544,3.96
28343,89.84074839,49.92453993,5.9
28349,89.85365323,45.61963651,6.83
28353,89.86543281,8.41546838,6.77
28358,89.88181908,54.28465615,3.72
28360,89.88217889,44.94743278,1.9
28370,89.9072849,-1.44406441,6.62
28372,89.91158878,-35.35259166,6.78
28374,89.91506876,21.60422297,6.89
28380,89.93028743,37.21258518,2.65
28385,89.94094267,55.32085751,6.42
28390,89.9497833,54.54700954,6.14
28404,89.98374741,45.93673567,4.3
28409,90.00471152,-8.10754524,6.65
28413,90.0139559,-3.07425354,4.53
28416,90.02055022,28.12573521,6.69
28417,90.0251621,27.27218805,6.61
28424,90.04015984,51.08087509,6.76
28429,90.06008316,33.13693362,6.84
28433,90.07160238,12.61139907,6.8
28434,90.07358206,-12.90003416,6.21
28438,90.07874627,44.59201281,6.21
28447,90.10117548,16.29895766,6.54
28448,90.10212308,34.5079251,6.76
28464,90.14890061,-58.10208842,6.97
28482,90.20138997,67.01395021,6.88
28484,90.20487606,-51.21631955,5.65
28485,90.20550764,2.91600803,6.98
28489,90.21263092,-42.87046456,6.58
28499,90.24400567,47.90192321,5.71
28500,90.25189281,27.57236241,6.04
28517,90.29184519,31.03451684,6.18
28520,90.30457236,-25.41776269,6.04
28521,90.31111223,-60.48561823,6.93
28523,90.3129589,65.52541191,6.61
28524,90.31790806,-33.91183545,5.54
28532,90.33447167,85.1821135,6.17
28553,90.4134318,-15.58928719,6.66
28561,90.42344169,22.40100142,6.36
28562,90.42941253,48.95944511,5.98
28574,90.46009056,-10.59793045,4.92
28593,90.52651935,-38.98933091,6.82
28595,90.5369844,-5.13695587,6.56
28596,90.53889907,-60.09683045,6.41
28609,90.57127511,1.69405264,6.58
28614,90.59582821,9.64727656,4.12
28621,90.63884409,13.02545021,6.96
28622,90.6408847,-14.49715719,6.2
28626,90.65680596,32.59141962,6.79
28634,90.68808646,47.80952901,6.49
28637,90.70251043,49.9056783,6.04
28642,90.72290367,43.37833397,6.38
28644,90.72989008,32.63569677,6.23
28654,90.76325431,-37.54706773,6.88
28656,90.76798321,57.01831417,6.5
28659,90.77909374,20.58627357,6.88
28662,90.78477042,-36.87294053,6.9
28667,90.79165739,7.6271447,6.73
28675,90.81501733,-26.28454444,5.03
28677,90.82482015,42.91156448,6.08
28686,90.85319827,11.68106483,6.09
28691,90.86402644,19.69056101,5.14
28697,90.89135352,26.52913259,6.99
28716,90.97993717,20.13845182,4.64
28734,91.03006202,23.26334108,4.16
28742,91.05029754,25.4439448,6.95
28743,91.05439154,-14.08431873,6.94
28744,91.05625597,-6.7089414,5.19
28756,91.08444067,-32.17243044,5.65
28764,91.11849797,-45.03660348,6.35
28765,91.12128345,51.57339462,6.39
28767,91.12476284,44.26044415,6.74
28769,91.12665133,-45.19663042,6.92
28787,91.16558489,38.57512299,6.93
28790,91.16708728,-45.07893163,5.93
28792,91.17847938,-1.58046305,6.94
28796,91.19450092,-48.45830405,6.6
28813,91.24264468,14.38843528,6.72
28812,91.24242852,5.41996961,5.67
28814,91.24316696,4.15867108,5.63
28816,91.24637164,-16.48443483,4.92
28820,91.2607571,37.96427204,6.32
28823,91.26410243,42.98163501,5.9
28827,91.27800689,-56.2330976,6.76
28829,91.28428595,59.39321033,6.32
28831,91.28894166,75.58591908,6.28
28854,91.36263451,-10.24259585,5.88
28855,91.36324523,-35.5136474,5.8
28861,91.39124681,33.59904978,6.23
28874,91.43978977,-24.19557073,6.74
28881,91.46856867,48.24928246,6.77
28897,91.50938134,-5.8802059,6.88
28899,91.52307925,-29.7586236,5.79
28900,91.52335494,-33.21918859,6.7
28908,91.53556265,35.38774033,6.12
28910,91.53884928,-14.9352543,4.67
28909,91.53909025,-66.03962084,5.72
28930,91.59352638,29.51241374,6.01
28943,91.63373588,-23.11084588,5.46
28946,91.64624042,38.48264424,5.35
28948,91.65983132,-16.51839165,6.6
28949,91.66140133,-4.1938361,5.37
28951,91.66314389,63.45383837,6.42
28954,91.66865489,15.54210589,6.76
28957,91.67100239,-42.29880411,6.15
28966,91.68606357,-24.92673648,6.96
28969,91.70275501,23.63860315,6.67
28970,91.71061236,-67.28333715,6.7
28973,91.71621674,-11.1735921,6.66
28978,91.73264508,16.36671476,6.57
28981,91.73439853,-3.34117134,6.92
28984,91.73963818,-21.81229937,5.74
28985,91.74397945,-6.20271493,6.58
28987,91.74905449,-46.20563738,6.83
28988,91.75788184,-45.09150974,6.48
28991,91.76412331,-62.15458059,5.04
28992,91.7652938,-34.31202064,5.82
29002,91.7891613,9.16598446,6.94
29024,91.85766701,36.27464613,6.94
29025,91.86149033,41.85428172,6.15
29034,91.88180321,-37.25292041,5.0
29038,91.89302018,14.7684717,4.42
29040,91.89955198,10.4563072,6.7
29048,91.92349197,-19.16586629,5.28
29057,91.94578661,-44.7293193,6.76
29064,91.97024538,-42.15404352,5.5
29068,91.98328814,36.06527635,6.96
29083,92.02673497,-15.90123724,6.95
29114,92.09639932,41.05572614,6.34
29118,92.10581019,-11.14628804,6.79
29126,92.1265152,13.97106194,6.93
29129,92.14428651,-44.35621217,6.26
29134,92.18442446,-68.84340934,5.06
29135,92.1903866,-7.93636044,6.69
29138,92.19596475,8.66943165,6.55
29140,92.19876058,-6.8213729,6.46
29150,92.24110369,-22.42741193,5.49
29151,92.24126418,2.49969231,5.7
29154,92.24867224,2.49639643,6.93
29163,92.27830973,-8.30156974,6.64
29166,92.28020041,7.51352614,6.63
29178,92.33415798,-18.12638533,6.36
29185,92.3476031,-49.56283157,6.48
29196,92.3851548,22.19026207,5.93
29205,92.3938511,-14.58461863,5.56
29210,92.40105301,-5.71142896,6.16
29225,92.43326963,23.11346618,5.75
29233,92.44643982,-26.70108601,6.27
29234,92.44984116,-22.77434294,5.71
29236,92.45476374,2.86946926,6.57
29246,92.49589396,58.93569426,5.35
29263,92.54334962,-40.35379216,5.54
29271,92.56030656,-74.75304517,5.08
29275,92.56926138,-15.05941245,6.9
29276,92.5746206,-54.9686447,4.72
29282,92.59911458,2.90187114,6.85
29284,92.61037426,-77.10558943,6.83
29288,92.62472175,22.99787601,6.88
29292,92.63298167,-34.81683246,6.65
29294,92.64450198,-27.15434319,5.72
29304,92.66636618,-45.2819879,6.28
29310,92.69733061,13.65946915,6.93
29323,92.75505789,-6.75422121,6.15
29326,92.75738029,18.13046468,6.37
29348,92.80670237,60.45348724,6.48
29347,92.80690236,-26.48210053,6.08
29353,92.81242757,-65.58941744,5.01
29357,92.81589907,47.90677323,6.85
29365,92.84063244,-15.79305984,6.78
29367,92.84658697,20.90541319,6.84
29371,92.86629221,13.63856099,6.04
29373,92.87393637,43.16516631,6.95
