source_id,plx,g,b,r,teff
3523295027349309312,13.246300468332125,7.0338244,7.2128024,6.7069516,6756.606
3523481188411698688,10.364742192681186,9.818078,10.181322,9.286633,5551.0205
3523541489751924480,7.062061440453574,8.917893,9.113273,8.574064,6681.206
3523618008889167872,5.39586721999662,8.260186,8.4504795,7.918555,6762.655
3523682536478810752,3.227085838222791,6.058276,6.8852816,5.1609216,4303.2227
3523747373305008000,3.6685180920875684,7.8161974,8.362188,7.1161437,4613.766
3524019811670164224,4.30440653663881,7.5304585,8.053428,6.8463097,5019.751
3524252289660592384,3.1274253275033095,8.476872,9.053721,7.7559667,4938.656
3524440031270717824,6.2765378853699705,9.581421,9.815429,9.190349,6388.2935
3524513831692814720,5.570773411279348,6.17721,6.170636,6.143503,9445.075
3524546683898791680,3.3232855544647624,7.9698405,8.515374,7.265061,4934.439
3524552903011499392,5.864555776730491,6.7648582,7.22779,6.1266274,5580.555
3524597879908969600,14.876641834442273,7.1566753,7.321078,6.8502097,6920.409
3525130799450804608,13.282615845004603,7.4245076,7.624197,7.06911,6589.988
3525157634406564608,11.660195468468414,8.581422,8.841017,8.157378,6108.78
3525277171936343680,2.3487880327904906,5.4898095,7.313501,4.1653166,3741.7422
3525337988673157504,15.47733507616877,7.514488,7.7358437,7.134334,6367.5063
3525389906238344960,9.80619732725627,10.332725,10.716429,9.776488,5371.4385
3525534075404680192,4.752492045959766,8.778171,9.239865,8.090214,5099.226
3526044321815096832,20.113219594394174,8.380721,8.703107,7.8853555,5656.7476
3526074691528438656,5.802363107654082,6.6199236,7.229228,5.871599,4772.241
3526341086875176960,4.8099879068704094,7.219216,7.695814,6.57734,5037.6924
3526374656339633152,9.11908379788432,7.7090206,7.8661675,7.4141035,7026.234
3526656165676138624,7.660904699698197,7.424329,7.624097,7.066917,6772.571
3527340061908391040,3.66790688981679,6.43141,7.1016183,5.641646,4695.201
3527376547654768000,5.293056725715815,8.031724,8.249815,7.650987,6578.8257
3527542784364803456,3.2645121625816653,7.907059,8.421686,7.23006,5024.9756
